id,hypothesis,reference,bleu-C,bleu-1,bleu-2,bleu3,bleu-4,CIDEr,Meteor,Rouge-1,Rouge-2,Rouge-l
30,a vase filled with flowers on top of a table,what filled with different colored flowers vase,6.8489908526642754e-155,0.4,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,0.5505825543789808,0.24845128551464693,0.4999999950781251,0.1333333285333335,0.36380597014857974
30,a vase of flowers sitting on a table,what filled with different colored flowers vase,1.2882297539194154e-231,0.25,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,0.1753463575620765,0.142433234421365,0.2857142807142858,0.0,0.14285714285664286
30,a vase filled with flowers sitting on top of a table,what filled with different colored flowers vase,6.513869329968086e-155,0.36363636363636365,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,0.45613790552731726,0.24220530347656918,0.470588230449827,0.12499999531250018,0.3328369322405586
30,a vase filled with flowers sitting on a table,what filled with different colored flowers vase,7.241926111174567e-155,0.4444444444444444,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,0.6398020441418946,0.25060548741217276,0.5333333283555556,0.14285713795918387,0.39649122806956133
109,a couple of boats that are sitting in the water,what allows for walks along the river walkway,1.0244914152188952e-231,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,0.004300152590678435,0.022222222222222223,0.11111110617283973,0.0,0.10846560846494499
109,a group of boats floating on top of a lake,what allows for walks along the river walkway,0,0,0,0,0,0.0,0.039506172839506186,0.0,0.0,0.0
109,a group of boats floating on top of a river,what allows for walks along the river walkway,1.0244914152188952e-231,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,0.5306848332210918,0.11041162227602906,0.1249999950000002,0.0,0.1249999999995
109,a couple of boats that are in the water,what allows for walks along the river walkway,1.0518351895246305e-231,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,0.004602338713254674,0.022792022792022793,0.11764705384083066,0.0,0.11684125705016256
144,a couple of giraffe standing next to each other,how many giraffes stuck behind the confines of a zoo fence three,8.962731118674859e-232,0.15922918012750872,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308,0.031436142179162234,0.05123816932451705,0.19047618557823143,0.0,0.09157509157490464
144,a couple of giraffe standing next to each other,how many giraffes stuck behind the confines of a zoo fence three,8.962731118674859e-232,0.15922918012750872,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308,0.031436142179162234,0.05123816932451705,0.19047618557823143,0.0,0.09157509157490464
